Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
10.358,-17539.719,0,0,440391.771,-0.067,3.19E+09,0,0,3.19E+09
21.361,-17520.148,0,0,1302761.01,-0.155,6.56E+09,0,0,6.56E+09
29.73,-17508.612,0,0,2138288.99,-0.222,9.11E+09,0,0,9.11E+09
38.94,-17497.681,0,0,3201609.388,-0.295,1.19E+10,0,0,1.19E+10
49.264,-17486.866,0,0,4547509.272,-0.377,1.51E+10,0,0,1.51E+10
100.02,-17445.135,0,0,12878647.69,-0.225,3.04E+10,0,0,3.04E+10
150.015,-17412.501,0,0,22559912.57,-0.231,4.55E+10,0,0,4.55E+10
200.004,-17383.398,0,0,32869316.16,-0.236,6.05E+10,0,0,6.05E+10
282.226,-17338.973,0,0,50077632.74,-0.177,8.49E+10,0,0,8.49E+10
673.583,-17141.582,0,0,132243894.2,-0.124,1.98E+11,0,0,1.98E+11
1064.94,-16948.594,0,0,214410155.7,-0.073,3.06E+11,0,0,3.06E+11
1456.298,-16756.46,0,0,296576417.2,-0.617,4.09E+11,-0.001,0,4.09E+11
1847.655,-16564.637,0,0,378742678.6,-0.568,5.08E+11,-0.001,0,5.08E+11
2239.013,-16372.962,0,0,460908940.1,-0.52,6.01E+11,-0.001,0,6.01E+11
2630.37,-16181.368,0,0,543075201.6,-0.474,6.90E+11,-0.001,0,6.90E+11
3021.727,-15989.825,0,0,625241463.1,-0.429,7.75E+11,-0.001,0,7.75E+11
3413.085,-15798.314,0,0,707407724.6,-0.385,8.55E+11,-0.001,0,8.55E+11
3804.442,-15606.827,0,0,789573986.1,-0.342,9.31E+11,-0.001,0,9.31E+11
