Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
10.479,-12807.616,0,0,281370.793,0,1719022844,0,0,1719022844
26.193,-12781.378,0,0,1251161.758,-0.001,4.28E+09,0,0,4.28E+09
48.011,-12758.452,0,0,3289693.316,-0.001,7.82E+09,0,0,7.82E+09
149.454,-12695.215,0,0,18648798.65,-0.006,2.41E+10,0,0,2.41E+10
250.062,-12651.652,0,0,38271546.55,-0.01,4.00E+10,0,0,4.00E+10
349.845,-12614.052,0,0,58945590.51,-0.015,5.57E+10,0,0,5.57E+10
399.852,-12596.12,0,0,69359402.55,-0.017,6.35E+10,0,0,6.35E+10
447.444,-12579.407,0,0,79351389.17,-0.019,7.08E+10,0,0,7.08E+10
657.576,-12507.877,0,0,123468950.1,-0.028,1.03E+11,0,0,1.03E+11
1514.956,-12226.127,0,0,303477549.7,-0.064,2.27E+11,0,0,2.27E+11
2372.335,-11947.438,0,0,483486149.6,-0.084,3.39E+11,0,0,3.39E+11
3228.795,-11669.515,0,0,663126932,-0.122,4.41E+11,0,0,4.41E+11
4086.175,-11391.588,0,0,843135531.7,-0.153,5.33E+11,0,0,5.33E+11
4941.567,-11114.32,0,0,1022347825,-0.157,6.15E+11,0,0,6.15E+11
5798.946,-10836.444,0,0,1202356424,-0.184,6.88E+11,-0.001,0,6.88E+11
6655.559,-10558.899,0,0,1382056199,-0.215,7.53E+11,-0.001,0,7.53E+11
7512.938,-10281.121,0,0,1562064799,-0.239,8.10E+11,-0.001,0,8.10E+11
8370.318,-10003.398,0,0,1742073399,-0.262,8.59E+11,-0.001,0,8.59E+11
