LOWER STAGE,,,
Engine No,r_gp_x (mm),r_gp_y (mm),r_gp_z (mm)
1,-19540.428,-430,0
2,-19540.428,0,-430
3,-19540.428,430,0
4,-19540.428,0,430
5,-19540.428,-1645,-372.391
6,-19540.428,-1215,-372.391
7,-19540.428,-1000,0
8,-19540.428,-1215,372.391
9,-19540.428,-1645,372.391
10,-19540.428,-1860,0
11,-19540.428,-1430,0
12,-19540.428,1215,-372.391
13,-19540.428,1645,-372.391
14,-19540.428,1860,0
15,-19540.428,1645,372.391
16,-19540.428,1215,372.391
17,-19540.428,1000,0
18,-19540.428,1430,0
,,,
UPPER STAGE,,,
Engine No,r_gp_x (mm),r_gp_y (mm),r_gp_z (mm)
1,-4204.428,0,0
