Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
10.358,-17539.719,-1430,0,21622356.55,-259808181.6,3.19E+09,0,0,3.21E+09
21.361,-17520.148,-1430,0,44983776.36,-535173312.1,6.56E+09,0,0,6.60E+09
29.73,-17508.612,-1430,0,62933159.95,-744359313.8,9.11E+09,0,0,9.18E+09
38.94,-17497.681,-1430,0,82830503.01,-974350310.4,1.19E+10,0,0,1.20E+10
49.264,-17486.866,-1430,0,105287820.5,-1231910733,1.51E+10,0,0,1.52E+10
100.02,-17445.135,-1430,0,217409213.6,-2.50E+09,3.04E+10,0,0,3.07E+10
150.015,-17412.501,-1430,0,329325688,-3.74E+09,4.55E+10,0,0,4.58E+10
200.004,-17383.398,-1430,0,441858382.4,-4.97E+09,6.05E+10,0,0,6.09E+10
282.226,-17338.973,-1430,0,627200899.3,-7.00E+09,8.49E+10,0.001,0,8.55E+10
673.583,-17141.582,-1430,0,1509653841,-1.65E+10,1.98E+11,0.001,0,1.99E+11
1064.94,-16948.594,-1430,0,2.39E+09,-2.58E+10,3.06E+11,0.002,0,3.08E+11
1456.298,-16756.46,-1430,0,3.27E+09,-3.49E+10,4.09E+11,0.003,0,4.12E+11
1847.655,-16564.637,-1430,0,4.16E+09,-4.38E+10,5.08E+11,0.004,0,5.11E+11
2239.013,-16372.962,-1430,0,5.04E+09,-5.24E+10,6.01E+11,0.005,0,6.06E+11
2630.37,-16181.368,-1430,0,5.92E+09,-6.09E+10,6.90E+11,0.005,0,6.96E+11
3021.727,-15989.825,-1430,0,6.80E+09,-6.91E+10,7.75E+11,0.006,0.001,7.81E+11
3413.085,-15798.314,-1430,0,7.69E+09,-7.71E+10,8.55E+11,0.007,0.001,8.62E+11
3804.442,-15606.827,-1430,0,8.57E+09,-8.49E+10,9.31E+11,0.007,0.001,9.39E+11
