Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
10.479,-12807.616,1430,0,21709332.14,191916858.1,1719022844,0,0,1740450806
26.193,-12781.378,1430,0,54812542.58,478733038,4.28E+09,0,0,4.33E+09
48.011,-12758.452,1430,0,101466475.5,875932724.6,7.82E+09,0,0,7.91E+09
149.454,-12695.215,1430,0,324267945.9,2.71E+09,2.41E+10,0,0,2.44E+10
250.062,-12651.652,1430,0,549622335.6,4.52E+09,4.00E+10,0,0,4.06E+10
349.845,-12614.052,1430,0,774344204.9,6.31E+09,5.57E+10,0,0,5.64E+10
399.852,-12596.12,1430,0,887017742.5,7.20E+09,6.35E+10,0,0,6.43E+10
448.689,-12578.973,1430,0,997137762.3,8.07E+09,7.10E+10,0,0,7.20E+10
657.576,-12507.877,1430,0,1468145912,1.18E+10,1.03E+11,-0.001,0,1.04E+11
1514.956,-12226.127,1430,0,3.40E+09,2.65E+10,2.27E+11,-0.002,0,2.30E+11
2372.335,-11947.438,1430,0,5.33E+09,4.05E+10,3.39E+11,-0.002,0,3.44E+11
3228.795,-11669.515,1430,0,7.27E+09,5.39E+10,4.41E+11,-0.003,0,4.48E+11
4086.175,-11391.588,1430,0,9.20E+09,6.66E+10,5.33E+11,-0.004,0.001,5.41E+11
4941.567,-11114.32,1430,0,1.11E+10,7.85E+10,6.15E+11,-0.005,0.001,6.25E+11
5798.946,-10836.444,1430,0,1.31E+10,8.99E+10,6.88E+11,-0.006,0.001,7.00E+11
6655.559,-10558.899,1430,0,1.50E+10,1.00E+11,7.53E+11,-0.007,0.001,7.67E+11
7512.938,-10281.121,1430,0,1.69E+10,1.10E+11,8.10E+11,-0.007,0.001,8.25E+11
8370.318,-10003.398,1430,0,1.89E+10,1.20E+11,8.59E+11,-0.008,0.001,8.76E+11
