Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
41.067,-3912.378,-0.002,0,2728020.07,-385.24,629994395.19,20.715,-10.533,629994420.0
139.509,-3845.371,-0.003,0,15076282.90,-1608.875,2070822599.14,144.772,-62.346,2070822591.2
258.767,-3784.167,0,0,32967006.87,0,3723641769.96,0,0,3723641770.0
379.026,-3727.268,0,0,51156164.56,0,5295598792.64,0,0,5295598792.6
499.285,-3671.75,0,0,69345322.24,0,6775264911.37,0,0,6775264911.4
619.544,-3616.809,0,0,87534479.92,0,8165448903.51,0,0,8165448903.5
739.803,-3562.163,0,0,105723637.60,0.001,9468959546.41,0.001,0,9468959546.4
860.062,-3507.689,0,0,123912795.29,0.001,10688605617.44,0.001,0,10688605617.4
980.095,-3453.42,0,0.001,142034455.99,-34.527,11825087982.65,2667.626,-52.814,11825088758.1
1086.036,-3405.197,0.001,0,156252163.30,2024.899,12759933359.18,1363.004,57.674,12759934086.9
